award_date,project_number,award_amount,award_type
2022-01-12,1F31AG072867-01A1,37952,1
2022-02-09,1F31AG076251-01,46752,1
2022-01-12,1F31AG076282-01,35946,1
2022-01-12,1F31AG076286-01,32686,1
2022-02-04,1F31AG076296-01,38467,1
2022-01-12,1F31AG076312-01,46752,1
2022-01-12,1F31AG076318-01,46752,1
2023-12-07,1F31AG077729-01A1,35118,1
2022-12-08,1F31AG077836-01A1,47694,1
2022-12-19,1F31AG077860-01A1,32797,1
2022-12-15,1F31AG077874-01A1,43814,1
2022-12-16,1F31AG080869-01,39638,1
2022-12-08,1F31AG080941-01,38479,1
2022-12-08,1F31AG081044-01,36557,1
2022-11-30,1F31AG081046-01,47694,1
2023-01-26,1F31AG081047-01,41883,1
2022-12-09,1F31AG081071-01,47233,1
2022-12-08,1F31AG081073-01,39161,1
2023-01-26,1F31AG081110-01,47694,1
2022-12-22,1F31AG081129-01,47694,1
2023-11-17,1F31AG082445-01A1,48974,1
2023-11-08,1F31AG082485-01A1,44751,1
2023-11-15,1F31AG085730-01,35994,1
2023-11-07,1F31AG085937-01,41568,1
2023-11-09,1F31AG085938-01,44892,1
2023-11-17,1F31AG085965-01,42142,1
2023-12-06,1F31AG086006-01,48974,1
2023-12-06,1F31AG086008-01,48974,1
2024-01-31,1F31AG086016-01,48974,1
2023-11-02,1F31AG086036-01,44172,1
2023-12-06,1F31AG086042-01,44892,1
2021-12-02,1F31AI157041-01A1,40496,1
2021-11-19,1F31AI160672-01A1,34574,1
2021-12-02,1F31AI161032-01A1,42498,1
2021-11-30,1F31AI161882-01A1,31986,1
2021-12-14,1F31AI161887-01A1,42156,1
2021-11-18,1F31AI161903-01A1,39681,1
2021-12-10,1F31AI161953-01A1,46752,1
2021-11-19,1F31AI161962-01A1,46752,1
2021-12-23,1F31AI161971-01A1,46752,1
2021-11-24,1F31AI161986-01A1,42752,1
2021-11-22,1F31AI167396-01,35276,1
2021-11-23,1F31AI167471-01,40352,1
2022-01-24,1F31AI167494-01A1,46752,1
2021-11-23,1F31AI167499-01,32686,1
2021-12-03,1F31AI167547-01,46752,1
2021-12-10,1F31AI167560-01,21609,1
2021-12-06,1F31AI167563-01,46752,1
2021-12-09,1F31AI167579-01,46752,1
2021-12-02,1F31AI167594-01,33841,1
2021-12-13,1F31AI167626-01,46752,1
2021-12-16,1F31AI167672-01,37065,1
2022-11-16,1F31AI169823-01A1,41294,1
2022-11-17,1F31AI169872-01A1,47694,1
2022-12-01,1F31AI169889-01A1,33242,1
2023-01-19,1F31AI169961-01A1,43694,1
2022-11-10,1F31AI169966-01A1,47694,1
2022-12-19,1F31AI169988-01A1,42482,1
2022-11-18,1F31AI174573-01,43033,1
2023-11-22,1F31AI174615-01A1,48974,1
2022-11-09,1F31AI174696-01,33646,1
2022-11-08,1F31AI174773-01,43843,1
2022-11-21,1F31AI174782-01,19533,1
2024-01-09,1F31AI174799-01A1,44646,1
2022-12-05,1F31AI174951-01,47694,1
2023-12-06,1F31AI176650-01A1,48974,1
2023-11-22,1F31AI176705-01A1,41566,1
2024-01-23,1F31AI176719-01A1,41621,1
2023-11-28,1F31AI176795-01A1,37652,1
2023-11-30,1F31AI176821-01A1,17553,1
2023-12-01,1F31AI176844-01A1,40855,1
2023-12-22,1F31AI176861-01A1,48974,1
2023-12-01,1F31AI177258-01A1,42341,1
2024-01-23,1F31AI178950-01A1,34295,1
2024-01-23,1F31AI179042-01A1,48974,1
2024-01-29,1F31AI179043-01A1,48974,1
2024-01-30,1F31AI179208-01A1,36574,1
2023-11-27,1F31AI181082-01,48974,1
2023-11-29,1F31AI181256-01,43203,1
2023-12-08,1F31AI181461-01,48974,1
2024-11-19,1F31AI181475-01A1,43203,1
2024-11-14,1F31AI183546-01A1,42196,1
2024-11-14,1F31AI183560-01A1,37529,1
2024-11-18,1F31AI183632-01A1,45976,1
2024-11-13,1F31AI183706-01A1,45478,1
2024-11-26,1F31AI183782-01A1,48974,1
2025-01-03,1F31AI186513-01A1,44015,1
2024-12-26,1F31AI188630-01,35785,1
2024-11-26,1F31AI188882-01,48974,1
2024-12-27,1F31AI189070-01,48974,1
2024-11-20,1F31AI189116-01,38674,1
2024-11-29,1F31AI189485-01,42058,1
2024-11-19,1F31AI189814-01,42058,1
2022-12-07,1F31AR082282-01,47694,1
2022-12-15,1F31AR082308-01,32918,1
2023-02-15,1F31AR082662-01,32846,1
2024-02-09,1F31AR083249-01A1,42088,1
2024-02-15,1F31AR083693-01,38987,1
2022-01-01,1F31AT011856-01,35992,1
2022-12-30,1F31AT012266-01,38553,1
2023-01-26,1F31AT012315-01,44394,1
2023-12-20,1F31AT012417-01A1,48974,1
2024-02-16,1F31AT012583-01A1,34427,1
2024-02-16,1F31AT012836-01,44671,1
2024-12-19,1F31AT012837-01A1,35766,1
2024-12-20,1F31AT013157-01,34518,1
2022-01-04,1F31CA257381-01A1,39747,1
2022-01-13,1F31CA260842-01A1,40854,1
2022-02-11,1F31CA260932-01A1,2601,1
2021-12-13,1F31CA260942-01A1,31317,1
2022-01-20,1F31CA261013-01A1,40317,1
2021-12-16,1F31CA261027-01A1,28965,1
2022-01-05,1F31CA261039-01A1,46752,1
2022-01-12,1F31CA261041-01A1,46752,1
2022-01-18,1F31CA261044-01A1,40105,1
2021-12-14,1F31CA261049-01A1,31807,1
2022-01-13,1F31CA261060-01A1,7157,1
2021-12-09,1F31CA261065-01A1,42506,1
2022-01-14,1F31CA261121-01A1,34249,1
2022-01-31,1F31CA261128-01A1,39226,1
2023-02-16,1F31CA265205-01A1,57219,1
2021-12-22,1F31CA268278-01,25114,1
2021-12-06,1F31CA268724-01,46752,1
2021-12-14,1F31CA268727-01,42498,1
2022-01-13,1F31CA268737-01,46752,1
2021-12-22,1F31CA268775-01,46752,1
2023-02-14,1F31CA268833-01A1,39213,1
2021-12-13,1F31CA268835-01,30058,1
2022-02-09,1F31CA268839-01,41965,1
2022-01-31,1F31CA268847-01,31506,1
2021-12-20,1F31CA268871-01,32848,1
2021-12-09,1F31CA268908-01,18155,1
2023-12-29,1F31CA278588-01A1,48974,1
2024-01-31,1F31CA280993-01A1,47374,1
2024-01-24,1F31CA281168-01A1,41328,1
2024-01-26,1F31CA281254-01A1,47974,1
2024-01-03,1F31CA281256-01A1,44187,1
2024-01-30,1F31CA281258-01A1,48974,1
2024-01-25,1F31CA284555-01A1,48974,1
2024-01-26,1F31CA287495-01,48974,1
2024-01-26,1F31CA287658-01,43203,1
2024-01-31,1F31CA288086-01,41493,1
2022-01-02,1F31DA053114-01A1,46752,1
2022-02-10,1F31DA053724-01A1,41404,1
2022-01-15,1F31DA053774-01A1,46752,1
2022-01-20,1F31DA053776-01A1,46752,1
2022-01-28,1F31DA053795-01,51752,1
2022-02-10,1F31DA053796-01A1,46752,1
2022-02-10,1F31DA053828-01A1,36411,1
2022-01-02,1F31DA054739-01,17148,1
2022-01-14,1F31DA054779-01A1,43290,1
2022-01-28,1F31DA055442-01,33886,1
