year,week,award_type,count,total
2025,2,7,15,7551705
2025,3,1,136,92760545
2025,3,2,24,16746103
2025,3,3,45,6517448
2025,3,4N,9,2534840
2025,3,5,629,273945597
2025,3,6,3,2679111
2025,3,7,16,5078570
2025,4,1,176,76387348
2025,4,2,32,16900969
2025,4,3,43,5183779
2025,4,4C,1,519048
2025,4,4N,8,7671461
2025,4,5,691,264486006
2025,4,6,2,740339
2025,4,7,17,4154729
2025,5,1,111,50289053
2025,5,2,16,11804319
2025,5,3,1,22000000
2025,5,4N,1,249000
2025,5,5,19,29372718
2025,6,1,2,0
2025,6,2,1,0
2025,6,5,7,394958
2025,7,1,1,132825
2025,7,3,7,1021418
2025,7,4N,10,2759187
2025,7,5,363,215460602
2025,7,7,16,6207178
